Sex,Height (cm),HandSpan (cm)
Female,168,21.5
Male,171,23.5
Male,173,22.5
Female,164,18
Male,168,23.5
Female,159,20
Male,173,23
Male,175,24.5
Female,165,21
Female,169,20.5
Male,169,20.5
Female,164,18.5
Female,167,21
Female,167,19.5
Male,169,22
Male,173,22
Female,162,20
Male,169,22.5
Female,164,18.5
Male,174,21.5
Male,173,24.5
Female,166,20.5
Male,174,24.5
Male,173,21
Male,169,21
Female,164,18.5
Female,167,18
Female,160,19.5
Male,175,20.5
Female,164,21
Female,167,20
Female,167,20
Female,166,19
Female,162,17
Male,172,22
Male,171,22
Female,161,17.5
Female,163,19
Male,166,19
Male,171,22
Male,171,22
Female,166,18.5
Male,170,20
Female,167,20.5
Male,169,21
Female,167,19.5
Female,168,20
Male,167,21.5
Male,168,22.5
Female,171,20
Male,170,22.5
Male,174,24.5
Female,160,18.5
Female,165,20
Male,172,24
Male,176,23.5
Female,166,21
Female,164.5,19.5
Male,171,20
Male,169,22.5
Female,164,20
Female,165,20
Male,174,24
Male,168,21
Female,168,21.5
Female,169,18.5
Female,168,23
Male,167,23
Female,161.5,20.5
Female,163,16.5
Female,167,19.5
Male,171,23
Male,173,22.5
Female,163,18.5
Female,161,18.5
Male,167,21.5
Male,172,20.5
Male,172,20.5
Female,168,20
Female,166,21
Male,167,21.5
Female,167,20.5
Male,172,20.5
Male,167.5,21
Female,163.75,21.5
Female,172,21.5
Male,169,22.5
Female,168,21
Male,171,21
Male,171,22
Female,163,19
Male,170,23
Female,168,20.5
Female,167.5,20.5
Male,175,21
Male,174,24
Male,171,22
Male,171,21
Female,164,19.5
Male,171,21
Female,169,19.5
Female,165,19
Male,169,23
Female,163,20.5
Male,170,24
Male,171,22
Female,164,20
Female,163,21.5
Female,165,19
Female,166,19
Female,166,20
Female,165,19.5
Female,167.5,20
Female,157,16
Male,172,22.5
Female,164,17.5
Female,167,19.5
Female,168,22.5
Female,163,20
Male,167,21.5
Female,166,20.5
Male,172,23.5
Male,174,22
Male,169,18
Female,168,19
Female,165,19.5
Female,164,19
Female,167,20
Male,174,23.5
Male,173,24
Female,164,18.5
Male,176,24.5
Female,168,20
Male,176,23
Female,164.25,22
Male,169,22.5
Male,175,24.5
Female,161.5,17
Male,169,22
Male,167,22
Male,174,24.5
Male,174,24
Female,171,18.5
Male,171,21.5
Female,163,21
Male,167,22
Female,165,20.5
Female,168,19
Female,167,20.5
Male,173,23
Male,178,25.5
Female,162,18.5
Female,170,19
Female,164,19
Female,164,20
Male,172,20.5
Male,174,24
Male,170,22
Male,170,23.5
Female,162,17
Female,164,18.5
Female,166,20
Female,160,17
Male,173,23
Female,166,18.5
Female,168,21
Male,173,21
